latin,tai_viet,tai_viet_sinh,nghia,trang,trang_thai
a,ꪮꪱ,ꪮꪱ,cô.,14,OK
a lả,ꪮꪱ ꪨꪱ,ꪮꪱ ꪨꪱ,cô út.,14,OK
a lan,ꪮꪱ ꪨꪱꪙ,ꪮꪱ ꪨꪱꪙ,cô cháu,14,OK
a ngạp,ꪮꪱ ꪉꪱꪚ,ꪮꪱ ꪉꪱꪚ,ngắc ngoải.,14,OK
à,ꪯꪱ,ꪯꪱ,hoặc.,14,OK
ả,ꪮꪱ,ꪮꪱ,"há, dạng, choãi",14,OK
ả báng,ꪮꪱ ꪚꪱꪉ,ꪮꪱ ꪚꪱꪉ,dạng háng,14,OK
ả kha,ꪮꪱ ꪄꪱ,ꪮꪱ ꪄꪱ,choãi chân.,14,OK
ả ók,ꪮꪱ ꪮꪮꪀ,ꪮꪱ ꪮꪮꪀ,choãi ra.,15,OK
ả xốp,ꪮꪱ ꪶꪎꪚ,ꪮꪱ ꪶꪎꪚ,há mồm.,15,OK
á ché,ꪮꪱ ꪵꪋ,ꪮꪱ ꪵꪋ,chị.,15,OK
á có,ꪮꪱ ꪀꪷ,ꪮꪱ ꪀꪷ,anh.,15,OK
á dè,ꪮꪱ ꪵꪥ,ꪮꪱ ꪵꪥ,bác.,15,OK
á pà,ꪮꪱ ꪛꪱ,ꪮꪱ ꪛꪱ,cha.,15,OK
á phạng,ꪮꪱ ꪡꪱꪉ,ꪮꪱ ꪡꪱꪉ,cứ ngỡ.,15,OK
ai,ꪮꪱꪥ,ꪮꪱꪥ,"mùi, hơi, ngượng",15,OK
aiay,,,hơi ho.,15,DAP_AN_CUT_CAN_SOAT
ai bứt,ꪮꪱꪥ ꪚꪒꪳ,ꪮꪱꪥ ꪚꪒꪳ,mùi thiu,15,OK
ai cháng,ꪮꪱꪥ ꪡꪱꪉ,ꪮꪱꪥ ꪡꪱꪉ,hơi nhạt,15,OK
ai chếp,ꪮꪱꪥ ꪹꪓꪸꪚ,ꪮꪱꪥ ꪹꪓꪸꪚ,hơi đau.,15,OK
ai chừ,ꪮꪱꪥ ꪋꪳ,ꪮꪱꪥ ꪋꪳ,mùi ngái,15,OK
ai da,ꪮꪱꪥ ꪠꪱ,ꪮꪱꪥ ꪠꪱ,mùi thuốc.,15,OK
ai đeng,ꪮꪱꪥ ꪵꪒꪉ,ꪮꪱꪥ ꪵꪒꪉ,hơi đỏ.,16,OK
ai đi,ꪮꪱꪥ ꪒꪲ,ꪮꪱꪥ ꪒꪲ,hơi đỡ.,16,OK
ai đón,ꪮꪱꪥ ꪒꪮꪙ,ꪮꪱꪥ ꪒꪮꪙ,hơi trắng,16,OK
ai fết,ꪹꪠꪸꪒ ꪮꪱꪤ,ꪹꪠꪸꪒ ꪮꪱꪤ,hơi cay.,16,OK
ai fom,ꪮꪱꪤ ꪞꪮꪣ,ꪮꪱꪤ ꪞꪮꪣ,hơi gầy.,16,OK
ai ha chăư,,ꪮꪱꪥ ꪬꪱ ꪻꪊ,hơi thớ.,16,DAP_AN_CUT_CAN_SOAT
ai hài,ꪮꪱꪤ ꪭꪱꪤ,ꪮꪱꪤ ꪭꪱꪤ,hơi xấu.,16,OK
ai hom,ꪮꪱꪤ ꪬꪮꪣ,ꪮꪱꪤ ꪬꪮꪣ,mùi hương,16,OK
ai hòn,ꪮꪱꪥ ꪭꪮꪙ,ꪮꪱꪥ ꪭꪮꪙ,hơi nóng,16,OK
ai khạo,ꪮꪱꪥ ꪅꪱꪫ,ꪮꪱꪥ ꪅꪱꪫ,mùi tanh,16,OK
ai kheo,ꪮꪱꪥ ꪵꪄꪫ,ꪮꪱꪥ ꪵꪄꪫ,hơi xanh,16,OK
ai khựm,ꪮꪱꪥ ꪅꪣꪳ,ꪮꪱꪥ ꪅꪣꪳ,hơi lạnh,16,OK
ai kịm,ꪮꪱꪥ ꪁꪲꪣ,ꪮꪱꪥ ꪁꪲꪣ,hơi mặn.,16,OK
ai khảu,ꪮꪱꪥ ꪹꪂꪱ,ꪮꪱꪥ ꪹꪂꪱ,hơi cơm.,16,OK
ai khẹn,ꪮꪱꪥ ꪵꪃꪙ,ꪮꪱꪥ ꪵꪃꪙ,đỡ.,16,OK
ai khiu,ꪮꪱꪥ ꪂꪲꪫ,ꪮꪱꪥ ꪂꪲꪫ,mùi hoi.,16,OK
ai khíu,ꪮꪱꪥ ꪂꪲꪫ,ꪮꪱꪥ ꪂꪲꪫ,mùi hăng,16,OK
ai khum,ꪮꪱꪥ ꪂꪣꪴ,ꪮꪱꪥ ꪂꪣꪴ,hơi đẳng,16,OK
ai lảu,ꪮꪱꪥ ꪹꪓꪱ,ꪮꪱꪥ ꪹꪓꪱ,mùi rượu,16,OK
ai lơng,ꪮꪱꪥ ꪹꪓꪷꪉ,ꪮꪱꪥ ꪹꪓꪷꪉ,hơi vàng,16,OK
ai mạu,ꪮꪱꪥ ꪹꪣꪱ,ꪮꪱꪥ ꪹꪣꪱ,hơi say.,16,OK
ai min,ꪮꪱꪥ ꪘꪲꪙ,ꪮꪱꪥ ꪘꪲꪙ,mùi thối.,17,OK
ai nả,ꪮꪱꪥ ꪘꪱ,ꪮꪱꪥ ꪘꪱ,ngượng mặt.,17,OK
